name	pinned_commit	upstream_check_2026-07-22	licence	inspected_path	git_object	reusable_code	reusable_idea	decision	next_gate
SLABIM	d4cfc0b527e	CURRENT	GPL-3.0	tutorial/semantic_mapping/eval.py	26b99f413aed1cd40ca64a1858be2763f7683a7b	NO-DIRECT	BIM-linked multi-session pose/semantic floor-wall-door evaluation	BENCHMARK-LEARN	Use only under compatible dataset/code terms; build independent MAP evaluation seam
anyplace	722955182375	CURRENT	MIT	clients/android/Anyplace/src/com/dmsl/anyplace/nav/BuildingModel.java	4537f8c2f9e622eef236558e8d985d99b3390e10	YES-MODEL-ALGORITHMS	Building-floor-POI-connector/radiomap APIs and cross-floor routing	ADAPT-SPIKE	Port only schema/fixtures/algorithms into MAP contract; reject obsolete full stack
awesome-meshcore	fa193b7395ca	CURRENT	CC0-1.0	README.md	d7577a0b24cafc272b6ee1adab3960ec6fb5cffd	NO-RUNTIME	MeshCore client/firmware/hardware/simulator/analyser ecosystem radar	RADAR	Quarterly capped watch; this is the closest match to the requested Meshaholics idea
awesome-reticulum	a7e938147871	CURRENT	BSD-3-CLAUSE	README.md	a9e7dca326d330881463cf640c9025c2c28f3ca8	NO-RUNTIME	Reticulum carrier/client/hardware ecosystem radar	RADAR	Quarterly capped watch only
bermuda	cd46d17e8469	CURRENT	MIT	custom_components/bermuda/bermuda_advert.py	fff53a21d63afcbc548fcfeacaca63c1a0d9df4f	YES-PORT	Receiver calibration; per-scanner history; velocity rejection; asymmetric smoothing; staleness; area/floor hysteresis	ADOPT-SPIKE	Port bounded evidence logic with confidence/provenance into FLOOR baseline and replay it
bitchat	733098bb633e	CURRENT	UNLICENSE-PUBLIC-DOMAIN	bitchat/Noise/NoiseProtocol.swift	a42b86a04d522e642cc9fc806d6c4dcb6e3dc870	YES-NONCRYPTO-COMPONENTS	Identity separation; source routing; controlled fanout; outbox; spray-and-wait courier; reconciliation; prekey invariants	ADOPT-SPIKES	Port one independently tested noncrypto seam at a time; STOP upstream crypto copy
bitchat-android	b7f0b33d3a26	CURRENT	GPL-3.0	app/src/main/java/com/bitchat/android/mesh/PacketRelayManager.kt	a82746c4e45f66fc435bcc704916410e04a18b5d	NO-CLOSED-PRODUCT	Android behavioural oracle for relay/fragment/store-forward/interoperability	LEARN-TEST-ONLY	Reimplement from public-domain protocol/iOS source or negotiate licence
blelocpp	72b4bd3b32af	CURRENT	MIT	ble-cpp/src/impl/StreamParticleFilter.cpp	4390ec0f21dceb19f13b1773c963aa1a77429146	YES-SELECTIVE	Building-constrained particle filter; beacon-floor evidence; transition-area mixing; altitude-change gate	ADAPT-SPIKE	Port estimator behind FLOOR contract and test on held-out physical cohorts
colorado-mesh-client	d44d55eb07d0	CURRENT	MIT	src/main/noble-ble-manager.ts	7aa531a48bfeec7b3bb383f35441099f8e616935	YES-LAB-CLIENT	BLE coexistence/recovery; MeshCore path decode; interoperability and operator UX cases	BENCHMARK-ADAPT	Use as protocol/UX oracle and cross-client fixture source; avoid Electron app dependency
columba	a19b2c2a1a7c	CURRENT	MPL-2.0	rns-host/src/main/kotlin/network/columba/app/rns/host/ble/client/BleGattClient.kt	d127b2802e56a93b8d23b4080dd0ef15145d5463	FILE-LEVEL-MPL-ONLY	Stable transport identity; duplicate-connection collapse; adaptive scan; MTU; queued GATT; timeout/backoff; lifecycle	LEARN-OR-ISOLATE	Independently implement patterns unless modified-file source disclosure is accepted
cose-examples	53c9d634333b	CURRENT	UNLICENSE	CWT/A_3.json	1951d144a1d884dadd92cc65874957cc6d015e81	YES-VECTORS	Public COSE/CWT valid fixtures and exact bytes	ADOPT-TEST-FIXTURES	Pin individual vector object/hash and pair with reviewed parser plus negative cases
expo-bitchat	38df0c9f40a6	CURRENT	MIT	ios/Services/BluetoothMeshService.swift	4e8beaf69678c8d50e4663cac94c779af2f755bc	SCAFFOLD-ONLY	Expo native bridge/BLE lifecycle examples and older fragment/store-forward failure cases	ADAPT-SCAFFOLD	Compare against exact SDK 57 API; reject crypto/protocol claims and wholesale copy
find3	5964026678a3	CURRENT-BUT-INACTIVE	MIT	server/ai/src/learn.py	7487a334e7122d64eba9c7cd48b4dee68ba002fb	YES-BENCHMARK-ONLY	Sensor-agnostic fingerprint classifier ensemble weighted by informedness	BENCHMARK	Freeze small offline room/floor baseline; do not ship stale server stack
go-cose	022cb5419154	CURRENT	MPL-2.0	cwt.go	e2aa9a264f4c965c08498930befc3363248e6990	ORACLE-FILE-LEVEL-MPL	Strict COSE/CWT parsing/signing oracle; fuzz and 2022 audit evidence	HOLD-ORACLE	Use differential pass/fail vectors only; select reviewed mobile provider separately
hdl_graph_slam	95b8dce41c10	CURRENT	BSD-2-CLAUSE	apps/floor_detection_nodelet.cpp	ad714d9e33c30c2a6286d9b0e9d71232421cb499	YES-WITH-DEPENDENCY-AUDIT	RANSAC horizontal floor-plane extraction and graph plane constraints	ADAPT-SPIKE	Audit optional GPL dependencies; prove plane constraint without semantic-floor overclaim
hilti-slam-2026	79b70b6d3623	CURRENT	CC-BY-NC-SA-3.0	challenge_tools_ros/gt_helper/challenge_tools_lib.py	d84f7ae9e35867c34f09655b101a56a704dd67b8	NO-COMMERCIAL	As-planned floorplan versus as-built visual-inertial localisation stress case	NONCOMMERCIAL-BENCHMARK	Keep dataset/derivatives outside commercial training/product path
iNavigate	feb4418fce80	CURRENT-BUT-INACTIVE	NONE	iNavigate/FloorChangeDetector.swift	be89ea4585efc435b4adcef88e6f28233d238372	NO	CoreMotion relative-altitude threshold baseline and adverse simplicity lesson	LEARN-ONLY	Reimplement as deliberately weak FLOOR baseline; add drift/calibration/topology
indoor-positioning	4fb94fc17606	CURRENT-BUT-INACTIVE	MIT	IndoorPositioning/app/src/main/java/com/monte/indoorpositioning/LocationUpdater.java	82e3423c4ddcdebf22b39bc8e9efbd1aeb15a39a	YES-TEACHING-BASELINE	Pressure EMA plus Wi-Fi KNN hard-coded two-floor baseline	BENCHMARK-ONLY	Translate into deterministic baseline; never treat example thresholds as product defaults
libsignal	8e49f09bbcde	CURRENT	AGPL-3.0	java/shared/java/org/signal/libsignal/protocol/SessionBuilder.java	176f41a71d53cd30df1a9fb77eaee38528d36a92	NO-DIRECT	PQXDH/prekey/ratchet lifecycle and adversarial architecture reference	STOP-DIRECT	Use public specs and independent model only; unsupported API/licence block product adoption
libsodium	7014b204b6fb	CURRENT	ISC	src/libsodium/crypto_aead/xchacha20poly1305/aead_xchacha20poly1305.c	3bf40845b2e43db273d90905023e70aed3f95514	YES-PROVIDER-CANDIDATE	Maintained cross-platform primitive provider and differential oracle	HOLD	Do not compose a custom Loc8 protocol from primitives; evaluate only behind reviewed suite/provider boundary
lidar_situational_graphs	35dd3561730a	CURRENT	GPL-3.0	lidar_situational_graphs/src/s_graphs/backend/floor_mapper.cpp	d7d1db1af4941d14a285ec194971dc4a7f053023	NO-DIRECT	Keyframe-wall-room-floor hierarchy and explicit transition keyframes	LEARN-REIMPLEMENT	Build independent transition graph against MAP stable IDs; no proprietary code copy
mCELindoorLoc	ea17e54fdfad	CURRENT-BUT-INACTIVE	NONE	model/mcel_model.py	b8bb163a4c8e5f2673b29bf20ce781ad864d1fd6	NO	Overlapping multi-cell targets reduce grid-boundary classification brittleness	LEARN-ONLY	Reimplement label smoothing/overlap as an offline benchmark if fingerprint lane proceeds
meshcore-ha	1ee608a3f065	CURRENT	MIT	custom_components/meshcore/meshcore_api.py	6c6fe38c022d9a6ef9feb20cdb866f124c04406c	YES-GATEWAY-PATTERNS	Event-driven gateway ingestion; bounded console; rate limit; telemetry backoff; message locking	ADAPT-SPIKE	Use in isolated Gateway adapter/observability experiment; threat-model command surface
meshcore-open	0fe250230905	CURRENT	MIT	lib/connector/meshcore_protocol.dart	82c9473d29a8cba47a5a4370e258a7f2c2836209	YES-FIXTURES	BLE/USB/TCP framing; protocol constants; SQLite/message lifecycle; admin flows	ADAPT-INTEROP	Create cross-client golden frames; do not import Flutter application layer
meshcore-packet-capture	4ef2f4cca25f	CURRENT	MIT	src/meshcore_packet_capture/packet_capture.py	188b98151b2a25243f3e5ece02af0e2ad895f5b3	YES-LAB-ONLY	Packet capture; payload decoding; broker labelling; export/diagnostic workflow	ADOPT-LAB-SPIKE	Add privacy/redaction and immutable hashes before use with Loc8 radio bake-off
meshtastic-firmware	f90c1340de20	ADVANCED-TO-1804fd188626	GPL-3.0	src/mesh/FloodingRouter.cpp	7048cd918735630ee8f2bbc6ba5af352e44d2699	NO-CLOSED-PRODUCT	Airtime/channel utilisation; roles; rebroadcast policies; persisted queues; store-forward; fuzzing	BENCHMARK-LEARN	Refresh in new snapshot; use as mature reference unless separate GPL firmware product is intentional
navigine-algorithms	67e11c4d398a	CURRENT	MIT	src/level_estimator/barometer.cpp	7d04b15990dc46245975557e47afdb9e0fa51077	YES-SELECTIVE	Radio-level weights/history plus two-window barometer gating; PDR/particles/barriers	ADAPT-SPIKE	Replace simple persistence counter with topology-constrained probabilistic estimator and calibrate devices
noise-c	cfe25410979a	CURRENT-BUT-LOW-ACTIVITY	MIT	src/protocol/handshakestate.c	87ce1eaa299be4d1e6c0cdd9b75764ba161121a3	YES-ORACLE	Noise handshake/cipher-state reference and test oracle	HOLD-PROVIDER	Use vectors/differential testing only; maintenance/mobile/review gates not met
openindoor6	5b776e1d9c2c	CURRENT-BUT-INACTIVE	AGPL-3.0	src/layers/building.json	59ea8843e17b5c21ca5acd527e5b49ed5588a478	NO-DIRECT	OSM indoor layer and viewer/data-model conventions	LEARN-OR-SEPARATE-SERVICE	Legal/architecture decision before any separately operated AGPL service
openmls	65396d8ed312	CURRENT	MIT	openmls/src/group/mls_group/processing.rs	5aa4880cded5a406e7d9882ca80ecf047eecf323	YES-FUTURE-PROVIDER	MLS group lifecycle; proposals/commits; fork/reboot recovery; known-answer tests	HOLD	Revisit only after pairwise identity/delivery/recovery and specialist group-security need
room-assistant	ed9a860e8ca2	CURRENT-BUT-INACTIVE	MIT	src/integrations/bluetooth-low-energy/bluetooth-low-energy-presence.sensor.ts	7a3cb2101071b1c3e01e254d89d910ebdb8d4947	YES-BASELINE	Kalman-filtered RSSI nearest-receiver/staleness baseline	BENCHMARK-ONLY	Use as simple control; Bermuda remains stronger implementation candidate
snow	8ac60f51cfe3	CURRENT	MIT-OR-APACHE-2.0	src/handshakestate.rs	3f2a750f6b3d7ba93c95d63b2ccd3af7a242312e	YES-ORACLE	Active Noise implementation with fuzz targets and vector support	HOLD-PROVIDER	Use differential oracle; formal audit/mobile packaging gates remain absent
swift-crypto	47d3869a7291	CURRENT	APACHE-2.0	Sources/Crypto/HPKE/HPKE.swift	9a3c3958cae06e57f13c6bc5051565fe5cdaab3c	YES-PROVIDER-VECTORS	RFC 9180 HPKE implementation/vectors and possible shared-provider path	REPEAT	Run isolated native E07; prove vendored Android packaging and exact cross-decrypt
tink	1f4cd38874ec	CURRENT-LEGACY	APACHE-2.0	cc/hybrid/hpke_config.cc	6856f152001d423cea1e02a18bc5adc1b94b97ce	NO-NEW-ADOPTION	Historical monorepo/API/provenance comparison	STOP-LEGACY	Use split tink-java/tink-cc/tink-objc sources only
tink-cc	5bf527a8dc73	ADVANCED-TO-a50ffe32402d	APACHE-2.0	tink/hybrid/internal/hpke_encrypt.cc	485be6f38dda1b8b897d0c478664d66b8aba72da	YES-PROVIDER-CANDIDATE	Shared HPKE provider using supported BoringSSL path	REPEAT	Refresh/pin release and checksum before isolated FFI/mobile packaging cohort
tink-java	1423887709cd	CURRENT	APACHE-2.0	src/main/java/com/google/crypto/tink/hybrid/internal/HpkeEncrypt.java	07f9dcd205d2d217a72f0d848e515b2be7d32fed	YES-PROVIDER-CANDIDATE	Maintained Android HPKE Base path; RAW output and context-info binding	REPEAT	Execute E07 vectors/cross-decrypt/tamper/lifecycle/min-API gates
tink-objc	04e43ef89f8c	CURRENT	APACHE-2.0	Tink/hybrid/TINKHybridConfig.mm	a7cd2e2876a582e9d24255b14df64396003f84bd	YES-NON-HPKE-HYBRID-ONLY	Evidence that Objective-C Hybrid surface does not provide the selected HPKE path	HOLD-NOT-CANDIDATE	Use CryptoKit iOS 17+ first; do not infer HPKE support from proto presence
weshnet	d735e1d4f723	CURRENT	MIT-OR-APACHE-2.0	store_message.go	4f3271d0846c694cc378a8968ca6667458ca86a4	YES-ISOLATED-SERVICE-OR-PATTERNS	Signed metadata/message logs; per-device queues; chain-key ordering; replication; out-of-store delivery	ADAPT-CONCEPTS	Prototype small Loc8 replicated event log outside constrained BLE frame path
